"Pack_ID","Road_2015","Road_2016","Road_2017","Road_2018","Road_2019","Road_2020","Road_2021","Road_2022","Road_2023","Road_2024","Road_2025","Road_2026","Road_2027","Road_2028","Road_2029","Road_2030","Road_2031","Road_2032","Road_2033","Road_2034","Road_2035","Road_2036","Road_2037","Road_2038","Road_2039","Road_2040","Road_2041","Road_2042","Road_2043","Road_2044","Road_2045"
1,88.03,84.667,81.304,77.941,74.578,71.215,67.852,64.489,61.126,57.763,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4,54.4
2,116.7,112.242,107.784,103.326,98.868,94.41,89.952,85.494,81.036,76.578,72.12,72.12,72.12,72.12,72.12,72.12,72.12,72.12,72.12,72.12,72.12,72.12,72.12,72.12,72.12,72.12,72.12,72.12,72.12,72.12,72.12
3,8.56,8.233,7.906,7.579,7.252,6.925,6.598,6.271,5.944,5.617,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29
4,46.75,44.964,43.178,41.392,39.606,37.82,36.034,34.248,32.462,30.676,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89,28.89
5,30.81,29.633,28.456,27.279,26.102,24.925,23.748,22.571,21.394,20.217,19.04,19.04,19.04,19.04,19.04,19.04,19.04,19.04,19.04,19.04,19.04,19.04,19.04,19.04,19.04,19.04,19.04,19.04,19.04,19.04,19.04
6,238.33,229.226,220.122,211.018,201.914,192.81,183.706,174.602,165.498,156.394,147.29,147.29,147.29,147.29,147.29,147.29,147.29,147.29,147.29,147.29,147.29,147.29,147.29,147.29,147.29,147.29,147.29,147.29,147.29,147.29,147.29
7,252.69,243.037,233.384,223.731,214.078,204.425,194.772,185.119,175.466,165.813,156.16,156.16,156.16,156.16,156.16,156.16,156.16,156.16,156.16,156.16,156.16,156.16,156.16,156.16,156.16,156.16,156.16,156.16,156.16,156.16,156.16
8,248.9,239.392,229.884,220.376,210.868,201.36,191.852,182.344,172.836,163.328,153.82,153.82,153.82,153.82,153.82,153.82,153.82,153.82,153.82,153.82,153.82,153.82,153.82,153.82,153.82,153.82,153.82,153.82,153.82,153.82,153.82
9,24.61,23.67,22.73,21.79,20.85,19.91,18.97,18.03,17.09,16.15,15.21,15.21,15.21,15.21,15.21,15.21,15.21,15.21,15.21,15.21,15.21,15.21,15.21,15.21,15.21,15.21,15.21,15.21,15.21,15.21,15.21
10,67.71,65.123,62.536,59.949,57.362,54.775,52.188,49.601,47.014,44.427,41.84,41.84,41.84,41.84,41.84,41.84,41.84,41.84,41.84,41.84,41.84,41.84,41.84,41.84,41.84,41.84,41.84,41.84,41.84,41.84,41.84
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,5.19,4.992,4.794,4.596,4.398,4.2,4.002,3.804,3.606,3.408,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21,3.21
13,17.44,16.774,16.108,15.442,14.776,14.11,13.444,12.778,12.112,11.446,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78,10.78
14,271.6,261.225,250.85,240.475,230.1,219.725,209.35,198.975,188.6,178.225,167.85,167.85,167.85,167.85,167.85,167.85,167.85,167.85,167.85,167.85,167.85,167.85,167.85,167.85,167.85,167.85,167.85,167.85,167.85,167.85,167.85
15,23.19,22.304,21.418,20.532,19.646,18.76,17.874,16.988,16.102,15.216,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33,14.33
16,346.98,333.725,320.47,307.215,293.96,280.705,267.45,254.195,240.94,227.685,214.43,214.43,214.43,214.43,214.43,214.43,214.43,214.43,214.43,214.43,214.43,214.43,214.43,214.43,214.43,214.43,214.43,214.43,214.43,214.43,214.43
17,227.25,218.569,209.888,201.207,192.526,183.845,175.164,166.483,157.802,149.121,140.44,140.44,140.44,140.44,140.44,140.44,140.44,140.44,140.44,140.44,140.44,140.44,140.44,140.44,140.44,140.44,140.44,140.44,140.44,140.44,140.44
18,227.37,218.684,209.998,201.312,192.626,183.94,175.254,166.568,157.882,149.196,140.51,140.51,140.51,140.51,140.51,140.51,140.51,140.51,140.51,140.51,140.51,140.51,140.51,140.51,140.51,140.51,140.51,140.51,140.51,140.51,140.51
19,296.62,285.289,273.958,262.627,251.296,239.965,228.634,217.303,205.972,194.641,183.31,183.31,183.31,183.31,183.31,183.31,183.31,183.31,183.31,183.31,183.31,183.31,183.31,183.31,183.31,183.31,183.31,183.31,183.31,183.31,183.31
20,479.82,461.491,443.162,424.833,406.504,388.175,369.846,351.517,333.188,314.859,296.53,296.53,296.53,296.53,296.53,296.53,296.53,296.53,296.53,296.53,296.53,296.53,296.53,296.53,296.53,296.53,296.53,296.53,296.53,296.53,296.53
21,404.56,389.106,373.652,358.198,342.744,327.29,311.836,296.382,280.928,265.474,250.02,250.02,250.02,250.02,250.02,250.02,250.02,250.02,250.02,250.02,250.02,250.02,250.02,250.02,250.02,250.02,250.02,250.02,250.02,250.02,250.02
22,213.25,205.104,196.958,188.812,180.666,172.52,164.374,156.228,148.082,139.936,131.79,131.79,131.79,131.79,131.79,131.79,131.79,131.79,131.79,131.79,131.79,131.79,131.79,131.79,131.79,131.79,131.79,131.79,131.79,131.79,131.79
23,346.67,333.427,320.184,306.941,293.698,280.455,267.212,253.969,240.726,227.483,214.24,214.24,214.24,214.24,214.24,214.24,214.24,214.24,214.24,214.24,214.24,214.24,214.24,214.24,214.24,214.24,214.24,214.24,214.24,214.24,214.24
24,173.1,166.487,159.874,153.261,146.648,140.035,133.422,126.809,120.196,113.583,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97,106.97
25,555.28,534.068,512.856,491.644,470.432,449.22,428.008,406.796,385.584,364.372,343.16,343.16,343.16,343.16,343.16,343.16,343.16,343.16,343.16,343.16,343.16,343.16,343.16,343.16,343.16,343.16,343.16,343.16,343.16,343.16,343.16
26,163.7,157.447,151.194,144.941,138.688,132.435,126.182,119.929,113.676,107.423,101.17,101.17,101.17,101.17,101.17,101.17,101.17,101.17,101.17,101.17,101.17,101.17,101.17,101.17,101.17,101.17,101.17,101.17,101.17,101.17,101.17
27,254.17,244.461,234.752,225.043,215.334,205.625,195.916,186.207,176.498,166.789,157.08,157.08,157.08,157.08,157.08,157.08,157.08,157.08,157.08,157.08,157.08,157.08,157.08,157.08,157.08,157.08,157.08,157.08,157.08,157.08,157.08
28,255.59,245.826,236.062,226.298,216.534,206.77,197.006,187.242,177.478,167.714,157.95,157.95,157.95,157.95,157.95,157.95,157.95,157.95,157.95,157.95,157.95,157.95,157.95,157.95,157.95,157.95,157.95,157.95,157.95,157.95,157.95
29,182.78,175.798,168.816,161.834,154.852,147.87,140.888,133.906,126.924,119.942,112.96,112.96,112.96,112.96,112.96,112.96,112.96,112.96,112.96,112.96,112.96,112.96,112.96,112.96,112.96,112.96,112.96,112.96,112.96,112.96,112.96
30,228.45,219.723,210.996,202.269,193.542,184.815,176.088,167.361,158.634,149.907,141.18,141.18,141.18,141.18,141.18,141.18,141.18,141.18,141.18,141.18,141.18,141.18,141.18,141.18,141.18,141.18,141.18,141.18,141.18,141.18,141.18
31,177.09,170.325,163.56,156.795,150.03,143.265,136.5,129.735,122.97,116.205,109.44,109.44,109.44,109.44,109.44,109.44,109.44,109.44,109.44,109.44,109.44,109.44,109.44,109.44,109.44,109.44,109.44,109.44,109.44,109.44,109.44
