"year","mean","median","lcl","ucl"
2015,-0.1432087470121,-0.113880445795339,-0.275862068965517,-0.0761904761904762
2016,-0.0888439275913071,-0.0772946859903382,-0.158415841584158,-0.0522875816993464
2017,-0.0570303955750743,-0.0529801324503311,-0.0869565217391304,-0.0383693045563549
2018,-0.0403261377719047,-0.0374707259953162,-0.0592592592592593,-0.0297951582867784
2019,-0.0315201043695092,-0.0303605313092979,-0.0434782608695652,-0.0255591054313099
2020,-0.0268861841183262,-0.026424460627881,-0.0323886639676113,-0.0228898426323319
2021,-0.024369166523731,-0.0241509571525566,-0.0280210157618214,-0.0213618157543391
2022,-0.0232255571982877,-0.0230547550432277,-0.0264900662251656,-0.0203821656050955
2023,-0.0229473510450592,-0.0227920227920228,-0.0264026402640264,-0.0199004975124378
2024,-0.0231782325293071,-0.023021582733813,-0.026890756302521,-0.02
2025,-0.0237798678470701,-0.0235640648011782,-0.0280701754385965,-0.0201005025125628
2026,-0.0245798685188312,-0.0243531202435312,-0.0294659300184162,-0.0203045685279188
2027,-0.0255223974949488,-0.0251572327044025,-0.0313111545988258,-0.02088772845953
2028,-0.0268141467699712,-0.0262725779967159,-0.0334029227557411,-0.0218281036834925
2029,-0.027973767316909,-0.0273037542662116,-0.0358744394618834,-0.0226308345120226
2030,-0.0293034674759389,-0.0286225402504472,-0.0375586854460094,-0.0235294117647059
2031,-0.0306132116403863,-0.0297397769516729,-0.04,-0.0243161094224924
2032,-0.0317724259551912,-0.0309179032583288,-0.0412371134020619,-0.0256410256410256
2033,-0.0327947390066692,-0.0318725099601594,-0.0427807486631016,-0.0262725779967159
2034,-0.0336157090021485,-0.0327533608233598,-0.0434782608695652,-0.0268456375838926
2035,-0.0345861659846992,-0.0337197423939596,-0.0440771349862259,-0.0279232111692845
2036,-0.0354007704650012,-0.0347448835235311,-0.0453257790368272,-0.0283687943262411
2037,-0.036145620045183,-0.0354767184035477,-0.0466472303206997,-0.0288288288288288
2038,-0.0367311932333689,-0.036117381489842,-0.046242774566474,-0.0289855072463768
2039,-0.0373599583653034,-0.0367394284509122,-0.0465116279069767,-0.0300187617260788
2040,-0.0379862533187253,-0.0373396074330654,-0.0473372781065089,-0.0304182509505703
2041,-0.038282303081767,-0.0377358490566038,-0.0476190476190476,-0.0304182509505703
2042,-0.0387256062191549,-0.0383693045563549,-0.0477611940298507,-0.0311284046692607
2043,-0.0393512978102931,-0.0390243902439024,-0.0481927710843374,-0.03125
2044,-0.0396605595718888,-0.0392156862745098,-0.0483383685800604,-0.0318091451292246
2045,-0.0400237113575349,-0.0397022332506203,-0.0489296636085627,-0.0323232323232323
